galaxy,radius_kpc,delta_v2,delta_sign,vobs,vbar,W,r_norm,radial_bin
F563-V1,5.24,14.645999999999958,positive,29.5,29.250709393107037,0.017117732034913295,0.6658195679796697,outer_disk
F563-V1,6.55,-81.5184999999999,negative,28.6,29.991307073883924,-0.09062862536458616,0.832274459974587,edge
F563-V1,7.87,-205.8277999999999,negative,27.3,30.840197794437053,-0.21640621172266977,1.0,edge
F563-V2,0.28,102.0191,positive,11.9,6.2921300050142,2.5768320497892194,0.026743075453677174,core
F563-V2,0.87,891.2854999999997,positive,34.8,17.881680569789854,2.7874056502723175,0.0830945558739255,core
F563-V2,1.46,2650.5207,positive,58.5,27.78001619869938,3.434521275789322,0.13944603629417382,core
F563-V2,2.05,5354.1844,positive,81.5,35.88963081448456,4.156763754889503,0.19579751671442214,core
F563-V2,2.35,6937.2983,positive,91.8,38.599762952640006,4.656087080454222,0.224450811843362,inner_disk
F563-V2,4.76,10689.372,positive,114.0,48.02736719829643,4.634198492344669,0.4546322827125119,mid_disk
F563-V2,7.86,10583.3055,positive,116.0,53.59752326367329,3.684104070237891,0.7507163323782234,outer_disk
F563-V2,8.7,10516.007,positive,117.0,56.32932628746771,3.3142231955759116,0.8309455587392549,edge
F563-V2,10.18,10905.843,positive,118.0,54.93775568768714,3.6134114295578397,0.9723018147086914,edge
F563-V2,10.47,10930.8867,positive,118.0,54.70935294810203,3.6520123377888827,1.0,edge
F565-V2,1.26,308.43999999999994,positive,21.7,12.745587471748802,1.8986765158510306,0.14318181818181816,core
F565-V2,2.51,1212.7270999999996,positive,40.3,20.2820832263355,2.9480711556632837,0.28522727272727266,inner_disk
F565-V2,3.78,2745.005000000001,positive,57.7,24.17198791990431,4.6980583105847336,0.4295454545454545,mid_disk
F565-V2,5.03,4019.1175,positive,68.5,25.94479716629136,5.970767270931056,0.571590909090909,mid_disk
F565-V2,6.29,4523.4319,positive,73.5,29.6448663346624,5.147176531753271,0.7147727272727272,outer_disk
F565-V2,7.54,5130.1012,positive,78.5,32.127072695781045,4.970311644987622,0.8568181818181817,edge
F565-V2,8.8,5821.715499999998,positive,83.1,32.922553060174415,5.371108996309143,1.0,edge
F567-2,1.92,54.31709999999987,positive,26.9,25.87069577726892,0.0811559483150051,0.20020855057351408,inner_disk
F567-2,3.83,997.9838,positive,46.8,34.52906312079724,0.8370548209352989,0.3993743482794578,inner_disk
F567-2,5.75,1181.9,positive,47.6,32.922029099069825,1.0904544867418298,0.5995828988529719,mid_disk
F567-2,7.67,922.0866,positive,48.1,37.30312855512256,0.662645414371041,0.799791449426486,outer_disk
F567-2,9.59,1045.9291000000003,positive,52.2,40.97451525033578,0.6229807073144863,1.0,edge
F568-1,0.44,91.85599999999997,positive,15.7,12.435191996909415,0.594022013270044,0.03325774754346183,core
F568-1,1.32,1139.5178,positive,44.5,28.995382390994603,1.355387363538592,0.09977324263038549,core
F568-1,2.2,3492.6668000000004,positive,69.4,36.38259473979282,2.6385772775745915,0.16628873771730915,core
F568-1,3.08,6475.5166,positive,90.0,40.30488059776384,3.986200536121206,0.2328042328042328,inner_disk
F568-1,3.96,9321.7382,positive,105.0,41.270592435776834,5.4728745751240355,0.29931972789115646,inner_disk
F568-1,4.84,10897.2864,positive,113.0,43.26330546779799,5.822090730120251,0.3658352229780801,inner_disk
F568-1,5.53,11637.5743,positive,117.0,45.29266717692832,5.672920203739283,0.417989417989418,mid_disk
F568-1,7.48,12404.5071,positive,124.0,54.511401559673736,4.17450336159309,0.5653817082388511,mid_disk
F568-1,8.37,12734.7031,positive,127.0,58.26059474464709,3.7517941049882815,0.6326530612244897,outer_disk
F568-1,9.24,13188.1308,positive,130.0,60.92511140736634,3.5529621571794614,0.6984126984126984,outer_disk
F568-1,10.13,13714.1807,positive,133.0,63.04616800409046,3.4502651982192,0.7656840513983372,outer_disk
F568-1,13.23,15420.2903,positive,142.0,68.87459400969271,3.2506816974908905,1.0,edge
F568-3,0.64,-31.506,negative,12.4,13.611245350811954,-0.17005818660736452,0.035595105672969966,core
F568-3,1.18,29.03859999999992,positive,21.9,21.226667190117247,0.0644483870924784,0.06562847608453837,core
F568-3,1.8,272.33159999999987,positive,32.3,27.76613765002255,0.35323773630328165,0.10011123470522804,core
F568-3,2.03,548.3807999999998,positive,37.9,29.79981879139536,0.617525639922651,0.1129032258064516,core
F568-3,2.78,1492.5184000000004,positive,53.1,36.42926845271532,1.1246536410900352,0.15461624026696327,core
F568-3,3.0,2441.0492,positive,62.4,38.11444345651658,1.6803407808353874,0.1668520578420467,core
F568-3,3.64,2817.4784,positive,68.0,42.50319517401015,1.5596151189113932,0.20244716351501668,inner_disk
F568-3,4.19,3992.2367,positive,78.0,45.73579888883543,1.9085508862307694,0.23303670745272526,inner_disk
F568-3,4.6,4570.4855,positive,82.3,46.93404414707942,2.074848448875059,0.2558398220244716,inner_disk
F568-3,5.14,5038.0275,positive,85.7,48.025644191410905,2.184309304833701,0.28587319243604004,inner_disk
F568-3,5.39,4915.8794,positive,85.5,48.93230630166536,2.0530987976547994,0.29977753058954393,inner_disk
F568-3,6.31,5252.349200000001,positive,89.5,52.51571955138765,1.9044735764245047,0.3509454949944382,inner_disk
F568-3,9.1,5717.9678,positive,95.2,57.83659913929933,1.7093705182208025,0.5061179087875417,mid_disk
F568-3,10.17,5907.1999000000005,positive,97.5,59.992083644427616,1.6413219421424563,0.5656284760845384,mid_disk
F568-3,11.99,6401.4016,positive,101.0,61.64088253748481,1.6847574206789853,0.6668520578420467,outer_disk
F568-3,14.02,7610.295,positive,107.0,61.95728367189769,1.9825162392004594,0.7797552836484983,outer_disk
F568-3,15.94,9764.551,positive,117.0,62.64542281763289,2.4881329837640904,0.8865406006674081,edge
F568-3,17.98,10480.9391,positive,120.0,62.60240330849927,2.6743496382003142,1.0,edge
F568-V1,0.39,151.46539999999993,positive,17.4,12.30018699044856,1.0011289233059204,0.022121384004537722,core
F568-V1,1.18,1295.6522999999995,positive,46.3,29.12108686158537,1.5278239399026712,0.06693136698808849,core
F568-V1,1.95,3558.2446999999997,positive,69.1,34.879296151155344,2.9248283672072515,0.1106069200226886,core
F568-V1,2.74,5884.1127000000015,positive,85.2,37.08001213592034,4.279580964026245,0.1554169030062394,core
F568-V1,3.53,6974.054399999999,positive,93.2,41.37856449902534,4.073188327246765,0.20022688598979013,inner_disk
F568-V1,4.3,7977.4275,positive,100.0,44.97301968958722,3.944198539236542,0.24390243902439024,inner_disk
F568-V1,5.09,9508.9711,positive,108.0,46.422288827674144,4.412456417637833,0.288712422007941,inner_disk
F568-V1,5.87,10376.7739,positive,112.0,46.55347570267981,4.788043988580611,0.33295519001701646,inner_disk
F568-V1,6.4,10546.8631,positive,113.0,47.139547091587545,4.746270628060764,0.3630175836642088,inner_disk
F568-V1,7.44,10383.9788,positive,113.0,48.83667883875806,4.353830817101334,0.4220079410096427,mid_disk
F568-V1,8.21,10032.263,positive,112.0,50.11723256525644,3.9941534483904966,0.46568349404424286,mid_disk
F568-V1,9.0,9810.4295,positive,111.0,50.10559350012731,3.907649476483532,0.5104934770277936,mid_disk
F568-V1,9.72,9730.9739,positive,111.0,50.89229902450861,3.757094918850432,0.5513329551900171,mid_disk
F568-V1,11.79,9935.1142,positive,113.0,53.23425400998872,3.5058272990393613,0.6687464549064095,outer_disk
F568-V1,17.63,11528.9047,positive,118.0,48.93971086959954,4.81354737742586,1.0,edge
F571-8,0.22,-1313.2105,negative,12.4,38.3010508994205,-0.8951853496713122,0.014147909967845658,core
