galaxy,mean_abs_W,std_W,max_abs_W,frac_W_gt_1,cluster
NGC3198,0.773642586317604,0.9722843072350992,2.6473275288127947,0.3255813953488372,0
NGC3521,0.3691260105006302,0.2699784626887399,0.8054616900927904,0.0,0
NGC3726,0.5114031813595438,0.6875952033708694,1.440409306929532,0.25,0
NGC3741,6.572310762409183,3.8051892636812,12.647491071025836,0.9047619047619048,1
NGC3769,1.1997027756962753,1.3245409114086255,3.0808052187180004,0.3333333333333333,2
NGC3877,0.2691308632732666,0.2654503652752961,0.862313618229074,0.0,0
NGC3893,0.3873752145305926,0.4399581105748439,0.7366654330526294,0.0,0
NGC3917,0.5815460922430873,0.3670378497081334,1.1276116989057063,0.0588235294117647,0
NGC3949,0.2771467982286854,0.1952283935094103,0.4290572001826551,0.0,0
NGC3953,0.1437142879780678,0.0499330943688664,0.21370406506238,0.0,0
NGC3972,0.4824189930121389,0.3220721904355165,0.9013506514794396,0.0,0
NGC3992,0.5837669485977998,0.3943467160411953,1.2587330015452716,0.2222222222222222,0
NGC4010,0.3710522534399884,0.3688670146226314,0.6043354913858966,0.0,0
NGC4013,0.5965841871879596,0.6219388715734463,1.5331824595743364,0.25,0
NGC4051,0.289618735791894,0.108798618894632,0.4873778929309197,0.0,0
NGC4068,0.4547798224503867,0.564113091889127,0.9385474249631502,0.0,0
NGC4085,0.387946486527959,0.2464987922326082,0.8018435435916609,0.0,0
NGC4088,0.3604292259004962,0.237032782534398,0.6166338430238179,0.0,0
NGC4100,0.4175014625419915,0.3389069098944399,0.937935620615048,0.0,0
NGC4138,0.4339872410255324,0.464736012514935,1.0386709235565277,0.1428571428571428,0
NGC4157,0.399601568943291,0.4802316664569889,0.93256248530709,0.0,0
NGC4183,1.143674516980765,0.5304879828517878,2.4172417065451914,0.4782608695652174,0
NGC4214,2.3090840149866243,1.5923735923297562,4.865156015248197,0.7142857142857143,2
NGC4217,0.355266626568569,0.3839621455525475,0.9050161210777816,0.0,0
NGC4389,0.6836627640045547,0.1721851311570562,0.9007266922280104,0.0,0
NGC4559,0.5167761463305391,0.5197923668715372,1.0488706506622003,0.125,0
NGC5005,0.3107028537192665,0.1078562370133793,0.4663587022658044,0.0,0
NGC5033,0.8430949856044229,0.7657531390946244,1.983998548578632,0.4090909090909091,0
NGC5055,0.5346013604481067,0.614034996566963,1.1605057733499158,0.1071428571428571,0
NGC5371,0.2261425906074502,0.1674133615532581,0.3803035533104534,0.0,0
NGC5585,0.9390152235951847,1.0786245055564507,2.518438038835608,0.375,0
NGC5907,0.523537397501337,0.4291352511614576,1.302192784334822,0.2105263157894736,0
NGC5985,0.944117128598768,0.2369626025597205,1.3831883697056402,0.3939393939393939,0
NGC6015,0.9210505735201908,0.8947340476097095,2.790114442053145,0.3863636363636363,0
